index,locate,rating,review,classfication,address,explain,mood,topic,reason,Cluster
64,송도구름산책로,4.4," 5,283",관광 명소,부산광역시 서구 암남동 129-4,"송도해수욕장에 있는 구불구불한 산책로로, 등대가 보이고 머리 위로 케이블카가 지나다닙니다.","재미있는, 분위기좋은, 편안한, 이국적","케이블카,드라이브,밤바다,야경","나들이,산책,데이트,휴식",6
65,서귀포매일올레시장,4.0," 21,686",시장,제주특별자치도 서귀포시 서귀동 중앙로62번길 18,"1960년대에 설립된 실내 시장으로 농수산물, 가정용품 등을 판매하는 가판대가 많이 있습니다.","활기찬, 조그마한, 재미있는, 화려한","천혜향주스, 오메기떡, 귤하르방","태교여행, 가족여행, 비오는날, 싱싱한",8
66,여의도한강공원,4.5," 12,825",공원,서울특별시 영등포구 여의도동 여의동로 330,"강가에 위치한 대형 공원으로 아름다운 경치와 조깅 코스, 수영장 등이 있어 많은 사람들의 사랑을 받고 있습니다.","깨끗한, 재미있는, 화려한, 편안한","자전거대여, 오리배, 시민공원, 치맥","피크닉, 경치, 데이트, 드라이브, 나들이",6
67,답다니탑망대,4.1," 1,010",관광 명소,제주특별자치도 제주시 우도면 연평리,4.3 사건 당시에 제주도 본섬과 바다의 상황들을 알아보고자 쌓아 올린 초소의 역할을 한 돌탑입니다.,"고즈넉한, 편안한, 웅장한","땅콩아이스크림, 해변, 돌탑, 일몰","가족여행, 경치, 드라이브, 사진찍기",8
68,사라봉공원,4.5," 1,043",관광 명소,제주특별자치도 제주시 건입동 사라봉동길 74,제주시 동문로터리에서 동쪽으로 2km 거리에 있는 143m 높이의 낮은 동산입니다.,"편안한, 웅장한","공원, 오름, 일몰, 야경, 산책로","나들이, 경치, 숨겨진, 휴식, 등산",0
69,도두 무지개 해안도로,4.4," 1,856",관광 명소,제주특별자치도 제주시 도두일동 2287,파란 제주 하늘과 그 아래로 끝없이 펼쳐진 수평선을 마주할 수 있는 용담이호해안도로이며 제주공항과 가까운 곳에 있어 여행 전후로 가볍게 드라이브를 즐길 수 있는 곳입니다.,"재미있는, 분위기좋은, 편안한","공항,드라이브,해안도로","나들이,핫플레이스,데이트,사진찍기",3
70,청풍호관광모노레일,4.1," 1,718",관광 명소,"114, 도곡리 청풍면 제천시 충청북도","왕복 50분이 소요되고 가파른 구간도 일부 있는 현대적인 모노레일 코스로 호수, 산, 숲의 풍경을 볼 수 있습니다.","조그마한, 재미있는, 아담한, 깨끗한","전망대, 빨간오뎅, 패러글라이딩","가족여행, 경치, 가을여행, 등산",9
71,168계단,4.2," 1,768",관광 명소,부산광역시 동구 영초길 191,"168개 계단으로 이루어진 가파르고 좁은 오르막길로, 모노레일이 운행됩니다.","빈티지한, 재미있는, 소박한, 옛모습","도시락, 전망대, 모노레일, 야경","경치, 데이트, 추억여행, 기차여행",9
72,목포 갓바위,4.2," 1,540",관광 명소,전라남도 목포시 용해동 산86-24,다리에서 보면 삿갓을 쓴 두 남자의 모습을 닮은 사암 바위입니다.,"재미있는, 낭만적인, 깨끗한, 화려한","음악분수, 공원, 유람선, 야경, 밤바다","나들이, 경치, 데이트, 드라이브, 유물",6
73,용머리해안,4.4," 4,215",관광 명소,제주특별자치도 서귀포시 안덕면 사계리,바위가 많은 이 해안은 산책하기 좋고 독특한 절벽과 아름다운 바다 경관을 자랑합니다.,"이국적, 아기자기, 신비로운, 웅장한","토끼아이스크림, 둘레길, 암벽, 해변","가족여행, 경치, 커플여행, 드라이브",5
74,낙산공원,4.5," 4,729",공원,서울특별시 종로구 이화동 낙산길 41,"산책로가 있는 언덕 위의 녹지 공간으로, 밤낮의 서울 전경을 감상할 수 있는 전망대가 몇 개 있습니다.","분위기좋은, 분위기있는, 화려한, 쾌적한","공원, 벽화마을, 성곽길, 산책, 야경","나들이, 경치, 데이트, 드라이브, 등산",6
75,만천하스카이워크,4.3," 1,882",전망대,충청북도 단양군 적성면 애곡리 5,"유리 바닥으로 된 언덕 위 스카이워크로, 하곡 방향을 향해 있으며 탁 트인 산의 풍경과 집라인을 즐길 수 있습니다.","재미있는, 분위기좋은, 편안한","모노레일,짚라인,알파인코스터","가족나들이,경치,데이트,나들이",9
76,청풍문화재단지,4.2," 1,513",관광 명소,충청북도 제천시 청풍면 청풍호로 2048,1985년 댐 건설로 수몰된 수 세기 역사 마을의 유물을 이전하여 복원해 놓은 단지입니다.,"화사한, 재미있는, 작은규모, 옛모습","유람선, 드라이브, 호수, 벚꽃길","경치, 촬영지, 유물, 등산, 기차여행",4
77,춘향테마파크,3.7," 1,062",관광 명소,전라북도 남원시 노암동 양림길 14-9,춘향전을 주제로 조성한 관광지로 광한루원 건너편에 위치한 남원관광지에 자리하고 있으며 임권택 감독의 '춘향뎐'과 2005년의 KBS드라마 '쾌걸춘향'의 촬영지이기도 합니다.,"재미있는, 화려한, 옛모습, 운치있는","천문대, 전통혼례, 한정식, 테마파크","전통체험, 가족여행, 경치, 촬영지",9
78,진주성,4.5," 3,185",관광 명소,경상남도 진주시 성지동 남강로 626,"중세 시대 요새로 1,760m 길이의 바위벽으로 둘러싸여 있으며 정교한 정자와 역사박물관이 있습니다.","이국적, 화려한, 옛모습, 웅장한","음악분수, 성곽, 박물관, 육회비빔밥","가족여행, 경치, 데이트, 가을축제, 유물",5
79,반포한강공원,4.4," 6,042",공원,서울특별시 서초구 반포2동 신반포로11길 40,강을 따라 걷고 뛰며 자전거를 탈 수 있는 편안한 분위기의 공원으로 시장과 피크닉 공간도 있습니다.,"분위기좋은, 시끌벅적한, 화려한, 편안한","치킨, 분수쇼, 무지개분수, 시민공원","나들이, 경치, 데이트, 드라이브, 피크닉",6
80,물의정원,4.3," 3,532",생태 공원,경기도 남양주시 조안면 북한강로 398, 국토교통부가 2012년 한강 살리기 사업으로 조성한 484188㎡의 광대한 면적의 수변생태공원으로 조성되었습니다.,"깨끗한, 화려한, 편안한, 운치있는","공원, 라이딩, 자전거코스, 산책, 연꽃","주말나들이, 슬로시티, 경치, 드라이브",0
81,한림공원,4.3," 4,556",식물원,제주특별자치도 제주시 한림읍 한림로 300,"다양한 아름다운 정원, 2개의 동굴, 작은 동물원, 민속촌이 있는 인기 관광지입니다.","재미있는, 이국적, 화려한, 신비로운","공원, 동굴, 식물원, 유채꽃, 연꽃","태교여행, 가족여행, 비오는날, 힐링",5
82,흰여울마을,4.3," 4,815",관광 명소,부산광역시 영도구 영선동4가 1043,"재개발된 예술적인 문화 마을로 좁은 골목, 거리 벽화, 해안 산책로가 있습니다.","평화로운, 깨끗한, 소박한, 옛모습","시장, 전망대, 산책로, 야경, 포장마차","힐링, 경치, 데이트, 드라이브, 촬영지",4
83,제주절물자연휴양림,4.6," 5,294",휴양림,제주특별자치도 제주시 봉개동 명림로 584,"이 고요한 공원에는 삼나무 숲 등산로, 화산으로 생성된 언덕, 피크닉 테이블, 놀이터가 있습니다.","재미있는, 깨끗한, 운치있는, 편안한","산책로, 산림욕, 휴양림, 삼나무숲길","태교여행, 가족여행, 비오는날, 힐링",8
84,천제연폭포,4.3," 4,288",관광 명소,제주특별자치도 서귀포시 중문동 2232,동굴에서 쏟아지는 물이 3단계의 폭포를 이루고 녹지로 둘러싸여 있습니다.,"편안한, 이국적, 신비로운, 웅장한","폭포, 오메기떡, 해변, 산책, 계곡","가족여행, 경치, 드라이브, 비올때, 등산",5
85,한라수목원,4.3," 4,238",수목원,제주특별자치도 제주시 연동 수목원길 72,"1,100개가 넘는 종류의 현지 및 아열대 식물과 아름다운 산책로가 있는 녹음이 우거진 수목원입니다","재미있는, 이국적, 아기자기, 편안한","수목원, 박물관, 식물원, 산책, 오름","가족여행, 비오는날, 힐링, 등산, 나들이",5
86,1913 송정역시장,3.9," 4,043",관광 명소,광주광역시 광산구 송정동 송정로16번길 38,"트렌디한 인디 상점과 튀김, 라면, 떡 등을 파는 식당이 있는 오랜 역사의 시장입니다.","활기찬,인심좋은,친절한,재미있는","시장,계란밥,디저트,맥주축제","가족여행,향토음식,음식,데이트",3
87,부산타워,4.2," 5,947",관광 명소,부산광역시 중구 광복동2가 용두산길 37-30,전망대와 카페가 있는 118m 높이의 타워 꼭대기에서 멋진 전경을 볼 수 있습니다.,"이국적, 재미있는, 화려한, 몽환적인","공원, 시장, 전망대, 야경, 냉채족발","핫플레이스, 경치, 데이트, 휴식, 나들이",6
88,메타세콰이어가로수길,4.1," 4,819",관광 명소,전라남도 담양군 담양읍 메타세쿼이아로 12,전국 제일의 가로수길로 숲이 만들어 놓은 터널처럼 여름에는 시원한 청량감을 주며 가을이면 갈색낙엽과 굵직한 가로수 도열이 마치 동화속 병정들의 열병식을 보는 듯한 착각에 빠지게합니다.,"목가적인, 이국적, 운치있는, 웅장한","대나무, 메타세콰이어길, 완자꼬치","가족여행, 경치, 가을여행, 드라이브",5
89,모래시계공원,4.0," 4,741",공원,강원도 강릉시 강동면 정동진리 산2,모래시계공원은 동해 바다와 산 정동진 2리 마을을 배경으로 아담하게 꾸며져 있습니다.,"느낌있는, 낭만적인, 고즈넉한, 이국적","공원, 해변, 박물관, 레일바이크, 일출","가족여행, 경치, 촬영지, 드라이브",5
90,삼청동길,4.2," 1,615",관광 명소,서울특별시 종로구 삼청동,"전통 한옥과 현대적인 부티크, 식당 등이 어우러져 있는 거리입니다.","호젓한, 이국적, 옛모습, 운치있는","야경, 미술관, 박물관, 도서관, 산책","나들이, 한복체험, 데이트, 드라이브",4
91,반포대교 달빛무지개분수,4.5," 2,343",관광 명소,서울특별시 서초구 반포2동,"대교를 따라 조성된 1,140m 길이 분수로 봄과 여름에는 정해진 시간마다 화려한 조명의 분수 쇼를 볼 수 있습니다.","정적인, 분위기좋은, 고즈넉한, 화려한","음악분수, 분수쇼, 무지개분수, 야경","나들이, 데이트, 힐링, 드라이브, 피크닉",6
92,평화의공원,4.5," 1,512",공원,서울특별시 마포구 상암동 월드컵로 243-60,평화의공원은 월드컵공원 전체를 대표하는 공원이며 월드컵경기장과 강북강변로 사이의 평지 약 44만㎡의 규모로 조성되어 있습니다.,"쉬기좋은, 재미있는, 화려한, 편안한","공원, 억새, 분수, 호수, 박람회","나들이, 가족나들이, 힐링, 데이트",8
93,경춘선숲길,4.5," 1,030",공원,서울특별시 노원구 월계2동 276-40,복선화 공사로 폐선로로 방치되어오던 철길이 서울시의 도시재생사업으로 태어난 특별한 공원입니다.,"재미있는, 분위기있는,낭만적인, 옛모습","공원, 철길, 산책,숲길","나들이, 데이트, 핫플레이스, 휴식",4
94,서울함공원,4.2," 1,472",공원,서울특별시 마포구 망원1동 마포나루길 407,대한민국 3면의 바다를 지켜온 서울함(호위함)과 참수리 고속정과 돌고래급 잠수함 등이 전시된 공원입니다.,"재미있는, 분위기있는,낭만적인, 화려한","함상, 공원, 산책, 야경","나들이, 가족나들이, 핫플레이스, 휴식",9
95,절두산 순교성지,4.5," 1,424",종교적 성지,서울특별시 마포구 합정동 토정로 6,"1866년 병인양요 당시 처형된 가톨릭 신자를 위한 사원, 교회, 박물관이 있습니다.","아담한, 고즈넉한, 웅장한","천주교, 순례, 산책","나들이, 가족나들이, 휴식",8
96,월드컵공원,4.5," 1,496",공원,서울특별시 마포구 상암동 월드컵로 243-60,"매립지 위에 건설한 드넓은 공원으로 강, 연못, 정원, 전망대가 있습니다.","화사한, 재미있는, 화려한, 편안한","공원, 억새, 얼음썰매장, 산책, 박람회","주말나들이, 피크닉, 데이트, 드라이브",3
97,의왕레일바이크,4.2," 1,019",테마파크,경기도 의왕시 월암동 525-9,100만여㎡에 이르는 왕송호수 주변을 따라 레일바이크를 타고 30분~1시간 정도 호수의 전경과 철새 습지 등의 자연경관을 체험할 수 있도록 꾸며졌습니다.,"조그마한, 재미있는, 낭만적인, 햇살좋은","과학관, 스쿠터, 공원, 레일바이크, 호수","나들이, 경치, 데이트, 휴식, 기차여행",9
98,북한산 백운대,4.8," 2,296",국립공원,경기도 고양시 덕양구 북한동,가장 널리 알려진 일반적인 북한산 등산코스로 우이동에서 백운대 정상까지 2.1km로 가장 짧습니다.,"재미있는, 호젓한, 화려한, 편안한","계곡, 둘레길, 암벽, 등반코스, 국립공원","휴식, 경치, 산행, 등산, 숨은",0
99,달전망대,4.2," 4,607",전망대,경기도 안산시 단원구 대부동 대부황금로 1927,시화호와 서해를 조망할 수 있는 시화지역의 랜드마크입니다.,"근사한, 깨끗한, 화려한, 조그마한","전망대, 일몰, 밤바다","경치, 가족나들이, 드라이브, 힐링",5
100,DDP 동대문디자인플라자,4.3," 24,343",문화센터,서울특별시 중구 을지로7가 을지로 281,미래형 디자인이 돋보이는 건축학적 명소로 디자인 마켓과 음식점이 있으며 다양한 행사가 열립니다.,"분위기좋은, 재미있는, 화려한, 우아한","led장미, 시장, 공원, 야경, 장미정원","나들이, 경치, 데이트, 등산, 휴식",6
101,용두암,3.9," 13,622",관광 명소,제주특별자치도 제주시 용담2동 용두암길 15,해안에 위치한 용 머리 모양의 화산암 형성물이 있는 인기 명소입니다.,"재미있는, 분위기좋은, 깨끗한, 이국적","횟집, 오메기떡, 해변, 야경, 고기국수","태교여행, 가족여행, 경치, 커플여행",1
102,전주 한옥마을,4.1," 24,730",관광 명소,전라북도 전주시 완산구 풍남동3가 기린대로 99,"전통 한옥, 서예 박물관, 전통술 박물관이 있는 문화 마을입니다.","재미있는, 멋스러운, 고즈넉한, 화려한","임실치즈, 길거리음식, 벽화마을","가족여행, 경치, 한복체험, 드라이브",9
103,북촌한옥마을,4.3," 12,851",문화 유산 보존,서울특별시 종로구 계동 계동길 37,14세기를 재현해 놓은 마을로 좁은 골목을 따라 전통 가옥이 즐비해 있습니다.,"화려한, 고즈넉한, 운치있는, 소박한","공방, 전망대, 박물관, 산책, 야경","나들이, 경치, 한복체험, 가을여행",6
104,홍대쇼핑거리,4.3," 7,460",상업 지구,서울특별시 마포구 서교동 365-8,청춘들의 아지트 홍대 거리에는 패션과 뷰티등이 즐비한 거리입니다.,"재미있는, 화려한","길거리음식, 피카소거리, 프리마켓, 공연","나들이, 한복체험, 데이트",2
105,덕수궁,4.5," 15,392",고궁,서울특별시 중구 세종대로 99,서울의 심장부에 있는 유서 깊은 궁전으로 왕궁수문장 교대 의식을 볼 수 있습니다.,"재미있는, 고즈넉한, 화려한, 웅장한","궁궐, 분수, 산책, 야경, 미술관","나들이, 경치, 한복체험, 야간투어",6
106,인사동거리,4.2," 10,589",관광 명소,서울특별시 종로구 인사동,가장 많은 외국인 관광객이 찾는 거리이며 스타벅스의 간판마저 한글로 바꿔버릴 만큼 그 전통이 깊숙이 뿌리 내린 동네이기도 합니다.,"멋스러운, 재미있는, 한국적인분위기","아이스크림, 호떡, 길거리음식, 골동품","주말나들이, 나들이, 한복체험, 데이트",3
107,쇠소깍,4.2," 11,598",관광 명소,제주특별자치도 서귀포시 쇠소깍로 138,한라산에서 흘러내려 온 물줄기가 제주도 남쪽으로 흐른다는 효돈천의 끝자락에 위치하고 있습니다.,"편안한, 재미있는, 이국적, 신비로운","수상자전거, 투명카누, 제트보트, 카약","가족여행, 경치, 드라이브, 승마체험",5
108,정방폭포,4.5," 8,544",관광 명소,제주특별자치도 서귀포시 칠십리로214번길 37,폭포수가 절벽에서 바다로 떨어지는 계단식 해안폭포이며 높이가 75피트에 달합니다.,"이국적, 우아한, 신비한, 웅장한, 깨끗한","한라봉쥬스, 폭포, 시장, 해변, 꽁치김밥","태교여행, 가족여행, 경치, 비오는날",5
109,안동 하회마을,4.1," 5,869",관광 명소,경상북도 안동시 풍천면 전서로 186,조선의 전통 탈 제작 및 기타 공예품으로 유명한 조선 시대 마을입니다.,"재미있는, 고즈넉한, 소박한, 옛모습","공연, 박물관, 찜닭, 간고등어, 스쿠터","가족여행, 경치, 가을여행, 등산",7
110,도담삼봉,4.1," 7,584",관광 명소,충청북도 단양군 매포읍 삼봉로 644-13,"들쭉날쭉한 암석 3개가 강물 위로 우뚝 솟아있는 명소로, 분수 쇼와 스피드보트를 즐길 수 있습니다.","우아한, 편안한, 화려한, 웅장한","호수, 등산, 산책, 제트보트","경치, 가족나들이, 사진찍기, 힐링",9
111,하늘공원,4.5," 7,528",공원,서울특별시 마포구 상암동 487-48,높이 자란 무성한 풀을 따라 난 길을 걸어가면 탁 트인 전망을 자랑하는 언덕이 나오는 아름다운 지역입니다.,"낭만적인, 분위기있는, 화려한, 편안한","해바라기밭, 억새, 메타세콰이어길, 야경","주말나들이, 경치, 데이트, 가을축제",6
112,비자림,4.5," 3,589",수목원,제주특별자치도 제주시 구좌읍 비자숲길 55,500~800년된 비자나무 수천 그루가 자생하는 천연기념물입니다.,"깨끗한, 운치있는, 신비로운, 웅장한","해변, 산림욕, 미로공원, 산책, 오름","태교여행, 가족여행, 비오는날, 힐링",8
113,청계천,4.3," 3,738",관광 명소,서울특별시 종로구 청계천로 1,"산책로, 다리, 녹지가 있는 휴식 공간으로 개울 주변으로 복원공사가 이루어졌습니다.","낭만적인, 재미있는, 화려한, 이국적","시장, 육회, 산책, 야경, 공연","주말나들이, 나들이, 데이트, 가을축제",2
114,망원한강공원,4.4," 3,767",공원,서울특별시 마포구 망원1동 마포나루길 467,성산대교와 양화대교 사이 한강 북단에 만들어진 망원지구는 아름다운 전망과 역사유적이 많은 곳입니다.,"분위기좋은, 화려한, 편안한, 운치있는","치킨, 수상레저, 시민공원, 야경, 오리배","나들이, 경치, 데이트, 드라이브, 피크닉",6
115,붉은오름 사려니숲길,4.6," 5,427",하이킹코스,제주특별자치도 서귀포시 표선면 가시리 산158-4,비자림로를 시작으로 물찻오름과 사려니 오름을 거쳐가는 삼나무가 우거진 숲길입니다.,"깨끗한, 이국적, 신비로운, 몽환적인","목장, 드라이브, 삼나무숲길, 산책, 오름","가족여행, 비오는날, 커플여행, 힐링",5
116,선유도공원,4.5," 3,583",공원,서울특별시 영등포구 선유로 343,2002년 4월 다양한 볼거리와 즐거움을 선사하는 친환경생태공원으로 재생되었습니다.,"재미있는, 분위기있는, 화려한, 편안한","물놀이장, 시민공원, 생태공원, 산책","주말나들이, 봄소풍, 가족나들이, 데이트",8
117,문경새재오픈세트장,4.1," 3,371",관광 명소,경상북도 문경시 새재로 932,국내 최초의 야외사극촬영장인 문경새재오픈세트장에서 촬영된 모든 드라마와 영상물을 한눈에 볼 수 있게 촬영장 내 강녕전에 설치되어 운영중입니다.,"고즈넉한, 옛모습","궁궐, 세트장, 박물관, 산책, 성곽","나들이, 경치, 등산, 영화촬영지, 촬영지",9
118,한라산국립공원,4.7," 2,438",국립공원,제주특별자치도 제주시 1100로 2070-61,큰 산이 있는 국립공원으로 다양한 고산 식물과 하이킹 코스가 있으며 탁 트인 전망을 자랑합니다.,"이국적, 깨끗한, 화려한, 편안한, 웅장한","둘레길, 오름, 등반코스, 철쭉, 국립공원","휴식, 경치, 산행, 등산, 가족여행",5
119,땅끝전망대,4.1," 2,912",전망대,전라남도 해남군 송지면 송호리,한반도의 가장 남쪽 땅끝에 위치한 최남단 전망대입니다.,"근사한, 깨끗한, 화려한, 조그마한","유람선, 전망대, 모노레일, 일몰","가족여행, 경치, 드라이브, 등산, 힐링",5
120,북한산국립공원,4.6," 1,591",국립공원,서울특별시 성북구 보국문로 262,"산책로가 십자 모양으로 가로지르는 산악 공원으로, 오래된 절과 요새를 다양하게 찾아볼 수 있습니다.","화려한, 깨끗한, 쾌적한, 편안한, 웅장한","계곡, 둘레길, 암벽등반, 성곽, 국립공원","휴식, 경치, 산행, 등산, 숨은",0
121,경의선숲길,4.4," 2,103",공원,서울특별시 마포구 동교동 147-89,"녹음이 우거진 공원으로 탈바꿈한 옛 철로로 산책로, 잔디밭, 시내가 있으며 인근에는 카페가 있습니다.","재미있는, 분위기있는, 아기자기","잔디밭, 공원, 철길, 산책, 스테이크","나들이, 데이트, 핫플레이스, 휴식",0
122,몽마르뜨공원,4.4," 1,116",공원,서울특별시 서초구 서초동,불어로 작은이란 뜻의 쁘띠 프랑스란 말이 잘 어울리는 곳입니다.,"편안한, 쉬기좋은, 이국적, 호젓한","잔디밭, 공원, 야경, 산책, 도서관","나들이, 경치, 등산, 피크닉, 휴식",1
123,해운대해수욕장,4.5," 1,114",해변,부산광역시,"이 1.5km 길이의 해변에서는 낚시, 수영, 다양한 축제, 스카이라인 전망을 즐길 수 있습니다.","재미있는, 깨끗한, 화려한, 프라이빗","아이스링크, 밤바다, 해변, 돼지국밥","가족여행, 경치, 커플여행, 드라이브",5
124,홍대앞예술시장프리마켓,4.1," 1,171",시장,서울특별시 마포구 와우산로21길 19-3,독립 예술가들이 가판대에서 수공예품과 예술작품을 판매하는 비상설 야외 시장으로 이벤트도 열립니다.,"재미있는, 화려한, 편안한","길거리음식, 공연, 산책, 프리마켓","나들이, 데이트, 사진찍기",2
125,주산지,4.2," 1,801",관광 명소,경상북도 청송군 부동면 주산지길 163,주왕산 국립공원의 100여년 된 저수지에는 물에 잠긴 왕버들 30여 그루가 신비로운 풍경을 자아냅니다,"아늑한, 아담한, 신비로운, 몽환적인","저수지, 계곡, 백숙, 호수, 국립공원","경치, 가을여행, 단풍여행, 영화촬영지",0
126,N서울타워,4.5," 45,826",타워,서울특별시 용산구 남산공원길 105,1980년에 문을 연 이 상징적인 타워는 도심의 탁 트인 전망을 자랑하며 회전식 레스토랑을 이용할 수 있습니다.,"분위기좋은, 분위기있는, 재미있는","레스토랑, 전망대, 성곽길, 케이블카","나들이, 경치, 데이트, 등산, 단풍구경",3
127,경복궁,4.6," 34,928",고궁,서울특별시 종로구 사직로 161,박물관과 정원이 있는 거대한 14세기 왕궁이며 무료 가이드 투어가 제공됩니다.,"재미있는, 고즈넉한, 화려한, 옛모습","산책, 궁궐, 박물관, 공연","나들이, 데이트, 한복체험, 드라이브",7
